age_group,totalpositive,date,case_percent,deaths,deaths_percent,ca_percent
65+,32815,01/07/2020,13.7,4695,77.5,15.6
Missing,246,01/07/2020,0.1,1,0,0
0-17,20088,02/07/2020,8.1,0,0,22.5
18-49,143601,02/07/2020,57.8,369,6,43.5
50-64,50845,02/07/2020,20.5,1023,16.5,18.4
65+,33445,02/07/2020,13.5,4791,77.5,15.6
Missing,256,02/07/2020,0.1,1,0,0
0-17,20610,03/07/2020,8.1,0,0,22.5
18-49,147853,03/07/2020,58,375,6,43.5
50-64,51955,03/07/2020,20.4,1036,16.6,18.4
65+,34055,03/07/2020,13.4,4835,77.4,15.6
Missing,272,03/07/2020,0.1,1,0,0
0-17,21219,04/07/2020,8.2,0,0,22.5
18-49,151294,04/07/2020,58.2,378,6,43.5
50-64,52869,04/07/2020,20.3,1038,16.6,18.4
65+,34493,04/07/2020,13.3,4848,77.4,15.6
Missing,280,04/07/2020,0.1,1,0,0
0-17,22332,05/07/2020,8.2,0,0,22.5
18-49,158767,05/07/2020,58.4,384,6.1,43.5
50-64,54836,05/07/2020,20.2,1044,16.6,18.4
65+,35441,05/07/2020,13,4872,77.3,15.6
Missing,308,05/07/2020,0.1,1,0,0
0-17,22861,06/07/2020,8.2,0,0,22.5
18-49,162714,06/07/2020,58.6,392,6.2,43.5
50-64,55931,06/07/2020,20.1,1053,16.6,18.4
65+,35957,06/07/2020,12.9,4916,77.3,15.6
Missing,311,06/07/2020,0.1,1,0,0
0-17,23960,07/07/2020,8.3,0,0,22.5
18-49,170255,07/07/2020,58.8,410,6.3,43.5
50-64,58017,07/07/2020,20,1069,16.5,18.4
65+,36911,07/07/2020,12.8,4995,77.1,15.6
Missing,325,07/07/2020,0.1,1,0,0
0-17,24556,08/07/2020,8.3,0,0,22.5
18-49,174719,08/07/2020,58.9,423,6.4,43.5
50-64,59300,08/07/2020,20,1101,16.6,18.4
65+,37586,08/07/2020,12.7,5096,77,15.6
Missing,338,08/07/2020,0.1,1,0,0
0-17,25160,09/07/2020,8.3,0,0,22.5
18-49,179727,09/07/2020,59.1,437,6.4,43.5
50-64,60708,09/07/2020,20,1148,16.9,18.4
65+,38346,09/07/2020,12.6,5201,76.6,15.6
Missing,356,09/07/2020,0.1,1,0,0
0-17,25889,10/07/2020,8.3,0,0,22.5
18-49,184939,10/07/2020,59.2,446,6.5,43.5
50-64,62124,10/07/2020,19.9,1170,17,18.4
65+,39039,10/07/2020,12.5,5276,76.6,15.6
Missing,353,10/07/2020,0.1,0,0,0
0-17,26652,11/07/2020,8.3,0,0,22.5
18-49,190310,11/07/2020,59.3,454,6.5,43.5
50-64,63696,11/07/2020,19.9,1187,17,18.4
65+,39776,11/07/2020,12.4,5348,76.5,15.6
Missing,370,11/07/2020,0.1,0,0,0
0-17,27415,12/07/2020,8.3,0,0,22.5
18-49,195752,12/07/2020,59.5,455,6.5,43.5
50-64,65134,12/07/2020,19.8,1192,17,18.4
65+,40473,12/07/2020,12.3,5367,76.5,15.6
Missing,388,12/07/2020,0.1,0,0,0
0-17,28108,13/07/2020,8.4,0,0,22.5
18-49,200437,13/07/2020,59.6,456,6.5,43.5
50-64,66427,13/07/2020,19.7,1193,16.9,18.4
65+,41080,13/07/2020,12.2,5390,76.6,15.6
Missing,456,13/07/2020,0.1,0,0,0
0-17,29156,14/07/2020,8.4,0,0,22.5
18-49,207574,14/07/2020,59.7,466,6.5,43.5
50-64,68493,14/07/2020,19.7,1220,17,18.4
65+,42007,14/07/2020,12.1,5478,76.5,15.6
Missing,404,14/07/2020,0.1,0,0,0
0-17,29945,15/07/2020,8.4,0,0,22.5
18-49,213083,15/07/2020,59.8,477,6.5,43.5
50-64,69998,15/07/2020,19.7,1238,17,18.4
65+,42748,15/07/2020,12,5568,76.5,15.6
Missing,404,15/07/2020,0.1,0,0,0
0-17,31018,16/07/2020,8.5,0,0,22.5
18-49,219485,16/07/2020,59.9,484,6.5,43.5
50-64,71688,16/07/2020,19.6,1271,17.2,18.4
65+,43550,16/07/2020,11.9,5654,76.3,15.6
